,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
1038,14,2.0,14, , 
1039, ,, , , 
1040, ,, , , 
1041, ,, , , 
1042,16,1.0,18,36,37
1043,19,2.0,19, , 
1044, ,, , , 
1045, ,, , , 
1046,13,1.0, , , 
1047, ,, , , 
1048,19,1.0,19,33,45
1049, ,, , , 
1050, ,, , , 
1051, ,, , , 
1052, ,, , , 
1053, ,, , , 
1054, ,, , , 
1055,21,2.0,23, , 
1056, ,, , , 
1057,19,2.0,19, , 
1058, ,, , , 
1059, ,, , , 
1060, ,, , , 
1061, ,, , , 
1062, ,, , , 
1063, ,, , , 
1064, ,, , , 
1065,15,1.0,15,15,15
1066,17,2.0,17, , 
1067,18,1.0,20, , 
1068,14,2.0,14, , 
1069,44,1.0,44,48,48
1070,25,2.0,25, , 
1071,22,2.0,22, , 
1072, ,, , , 
1073,14,1.0,14, , 
1074,16,2.0,30, , 
1075, ,, , , 
1076, ,, , , 
1077, ,, , , 
1078, ,, , , 
1079, ,, , , 
1080,14,1.0,15,30,37
1081, ,, , , 
1082,12,2.0,12, , 
1083, ,, , , 
1084, ,, , , 
1085, ,, , , 
1086, ,, , , 
1087, ,, , , 
1088, ,, , , 
1089, ,, , , 
1090,28,2.0, , , 
1091,17,1.0,21,31,32
1092, ,, , , 
1093,15,1.0,17,26,27
1094,13,2.0,16, , 
1095,17,1.0,21, , 
1096, ,, , , 
1097,15,1.0,15, , 
1098, ,, , , 
1099, ,, , , 
1100, ,, , , 
1101, ,, , , 
1102, ,, , , 
1103, ,, , , 
1104,17,2.0,17, , 
1105, ,, , , 
1106, ,, , , 
1107, ,, , , 
1108, ,, , , 
1109, ,, , , 
1110,16,1.0,18,32,33
1111, ,, , , 
1112, ,, , , 
1113, ,, , , 
1114, ,, , , 
1115,14,1.0,14,58,59
1116, ,, , , 
1117, ,, , , 
1118,16,2.0, , , 
1119,99,2.0,99, , 
1120,16,2.0,16, , 
1121, ,, , , 
1122,9,2.0, , , 
1123, ,, , , 
1124,20,1.0,24,25,25
1125,20,2.0,25, , 
1126,13,1.0,13, , 
1127,38,1.0,38,38,42
1128,13,1.0,19,22,24
1129, ,, , , 
